customer_id,age,email,salary,country,phone,signup_date
C04875,999.0,user4875@example.com,41017.0,USA,3637929158,2023-09-22 00:00:00
C01026,70.0,user1026@example.com,-1000.0,Australia,-8437,2023-02-25 00:00:00
C03546,79.0,user3546@example.com,82797.0,USA,423.366.4508,2023-09-15 00:00:00
C03822,20.0,@domain.com,54624.0,India,719-808-4765,2023-08-06 00:00:00
C04395,68.0,user4395@example.com,155942.0,USA,,2023-05-28 00:00:00
C00923,70.0,user3423@example.com,99521.0,USA,970.521.2218,2023-10-07 00:00:00
C01991,77.0,user2418@example.com,59709.0,UK,(318) 414-9221,2023-07-29 00:00:00
C00380,74.0,user1096@example.com,,UK,6945728232,2023-10-02 00:00:00
C04460,-25.0,user4460@example.com,49252.0,USA,502-394-4542,2023-04-14 00:00:00
C00706,61.0,user706@example.com,142935.0,Canada,553-249-1162,2023-05-01 00:00:00
C02375,37.0,user2375@example.com,188744.0,Canada,733 274 6639,2023-10-23 00:00:00
C00531,37.0,user531@example.com,143903.0,USA,4723534498,2023-05-04 00:00:00
C00801,29.0,,187561.0,Canada,101-932-8612,2023-06-17 00:00:00
C00113,19.0,user4525@example.com,80248.0,UK,6310010573,2023-05-20 00:00:00
C01457,64.0,user1457@example.com,-50000.0,Spain,213.259.1983,2023-06-25 00:00:00
C01392,29.0,user1392@example.com,,USA,246-173-7986,2023-12-01 00:00:00
C03650,40.0,user3650@example.com,,Australia,110-289-4419,2023-03-18 00:00:00
C03200,500.0,user3200@example.com,153745.0,Australia,(820) 179-7187,2023-02-09 00:00:00
C02672,19.0,invalid-email,121319.0,UK,724-154-6871,2023-01-11 00:00:00
C02813,43.0,user2813@example.com,35583.0,Canada,725.881.9693,2023-01-08 00:00:00
,31.0,user66@example.com,128826.0,Australia,(816) 781-6412,2023-10-29 00:00:00
C00158,29.0,user158@example.com,111029.0,UK,112-521-2600,2023-10-08 00:00:00
C03241,66.0,user3241@example.com,162341.0,Australia,641 918 9027,2023-01-14 00:00:00
C04102,-5.0,user4102@example.com,-5000.0,USA,168-828-5327,2023-10-23 00:00:00
C00627,72.0,user627@example.com,56990.0,USA,,2023-02-07 00:00:00
C00019,38.0,user1966@example.com,81033.0,UK,-8755,2023-02-30
